key,screens,English,Hindi,Hinglish,audit flags,review status
achievement_unlocked_body,DashboardViewModel,You unlocked: %1$s,आपने अनलॉक किया: %1$s,apne unlock kiya: %1$s,,Needs human review
achievement_unlocked_title,DashboardViewModel,Achievement Unlocked! 🏆,नई अचीवमेंट मिली! 🏆,Achievement Unlocked! 🏆,,Needs human review
achievements_active,AchievementsScreen,Set active,Active,Active,Latin text in Hindi: inspect names/technical terms,Needs human review
achievements_earned_count,AchievementsScreen,%1$d Earned,%1$d मिले,%1$d mile,,Needs human review
achievements_earned_mark,AchievementsScreen,✓ Earned,✓ मिल गया,✓ mila gaya,,Needs human review
achievements_empty,AchievementsScreen,No achievements currently,अभी कोई achievement नहीं है,abhi koi achievement nahi hai,Latin text in Hindi: inspect names/technical terms,Needs human review
achievements_filter_badges,AchievementsScreen,Achievements filter badges,Badges,Badges,Latin text in Hindi: inspect names/technical terms,Needs human review
achievements_filter_earned,AchievementsScreen,Achievements filter earned,मिले हुए,mile hue,,Needs human review
achievements_filter_titles,AchievementsScreen,Achievements filter titles,Titles,Titles,Latin text in Hindi: inspect names/technical terms,Needs human review
achievements_locked,AchievementsScreen,Locked,Locked,Locked,Latin text in Hindi: inspect names/technical terms,Needs human review
achievements_locked_count,AchievementsScreen,%1$d Earned,%1$d locked,%1$d locked,Latin text in Hindi: inspect names/technical terms,Needs human review
achievements_set_active,AchievementsScreen,Set active,Active करें,Active karein,Latin text in Hindi: inspect names/technical terms,Needs human review
achievements_title,AchievementsScreen,Achievements & Titles,Achievements और titles,Achievements aur titles,Latin text in Hindi: inspect names/technical terms,Needs human review
achievements_total_count,AchievementsScreen,%1$d Total,कुल %1$d,kul %1$d,,Needs human review
activity_result_invalid_parameters,,Invalid payment parameters. Please try again.,पेमेंट की जानकारी सही नहीं है। फिर से कोशिश करें।,Payment details sahi nahi hain. Phir se try karein.,,Needs human review
activity_result_invalid_url,,Invalid payment URL. Please try again.,पेमेंट लिंक सही नहीं है। फिर से कोशिश करें।,Payment link sahi nahi hai. Phir se try karein.,,Needs human review
admin_bell_destination,AdminNotificationComposerScreen,In-App Bell Destination,इन-ऐप बेल डेस्टिनेशन,in-app bela destinesana,,Needs human review
admin_body,AdminNotificationComposerScreen,Body,मैसेज बॉडी,message bodi,,Needs human review
admin_compose_help,AdminNotificationComposerScreen,"Write the message once, then choose push (tray) or Home bell. Use both if you need both.","मैसेज एक बार लिखें, फिर push (tray) या Home bell चुनें। दोनों जगह चाहिए तो दोनों इस्तेमाल करें।","message ek baar likhein, phir push (tray) ya Home bell chunein. dono jagah chahiye to dono istemal karein.",Latin text in Hindi: inspect names/technical terms,Needs human review
admin_compose_notification,AdminNotificationComposerScreen,Compose a notification,नोटिफ़िकेशन बनाएँ,notification banayein,,Needs human review
admin_confirm_in_app,AdminNotificationComposerScreen,Confirm in-app update,इन-ऐप अपडेट कन्फ़र्म करें,in-app update confirm karein,,Needs human review
admin_confirm_push,AdminNotificationComposerScreen,Confirm push broadcast,पुश ब्रॉडकास्ट कन्फ़र्म करें,pusa brodakasta confirm karein,,Needs human review
admin_custom_web_link,AdminNotificationComposerScreen,Custom web link,कस्टम वेब लिंक,custom veba link,,Needs human review
admin_deep_link,AdminNotificationComposerScreen,Deep link,डीप लिंक,deep link,,Needs human review
admin_https_hint,AdminNotificationComposerScreen,Only secure https links can be sent.,सिर्फ़ सुरक्षित https लिंक भेजे जा सकते हैं।,sirf safe https link bheje ja sakte hain.,Latin text in Hindi: inspect names/technical terms,Needs human review
admin_in_app_help,AdminNotificationComposerScreen,Home bell only. Test posts to your admin account; post-for-all reaches every user.,सिर्फ़ Home bell में दिखेगा। Test आपके एडमिन अकाउंट पर जाएगा; post-for-all हर यूज़र तक जाएगा।,sirf Home bell mein dikhega. Test aapke admin account par jaayega; post-for-all har user tak jaayega.,Latin text in Hindi: inspect names/technical terms,Needs human review
admin_in_app_update,AdminNotificationComposerScreen,2. In-app bell (Updates),2. इन-ऐप बेल (Updates),2. in-app bela (Updates),Latin text in Hindi: inspect names/technical terms,Needs human review
admin_message,AdminNotificationComposerScreen,Message,मैसेज,message,,Needs human review
admin_normal_push,AdminNotificationComposerScreen,1. Normal push notification,1. नॉर्मल पुश नोटिफ़िकेशन,1. normal pusa notification,,Needs human review
admin_normal_push_help,AdminNotificationComposerScreen,Phone notification tray via FCM. Does not appear under the Home bell.,FCM से फ़ोन की नोटिफ़िकेशन ट्रे में जाएगा। Home bell में नहीं दिखेगा।,FCM se fona ki notification tre mein jaayega. Home bell mein nahi dikhega.,Latin text in Hindi: inspect names/technical terms,Needs human review
admin_notification_composer,AdminNotificationComposerScreen,Notification Composer,नोटिफ़िकेशन कम्पोज़र,notification composer,,Needs human review
admin_notifications,AdminNotificationComposerScreen,Admin Notifications,एडमिन नोटिफ़िकेशन्स,admin notifications,,Needs human review
admin_refresh_status,AdminNotificationComposerScreen,Refresh admin status,एडमिन स्टेटस रिफ़्रेश करें,admin status refresh karein,,Needs human review
admin_title,AdminNotificationComposerScreen,Title,टाइटल,title,,Needs human review
analytics_30_day,NishthaAnalyticsScreen,30 Day Density,30 दिनों का घनत्व,30 dinon ka ghanatva,,Needs human review
analytics_activity_heatmap,NishthaAnalyticsScreen,Activity Heatmap,गतिविधि हीटमैप,gatividhi heatmap,,Needs human review
analytics_avg_mood,,Avg Mood,औसत मूड,ausat mood,,Needs human review
analytics_checkins,,Check-ins,चेक-इन संख्या,check-in sankhya,,Needs human review
analytics_completion_rate,NishthaAnalyticsScreen,Completion Rate,पूर्णता दर,poornata dar,,Needs human review
analytics_consistency_score,NishthaAnalyticsScreen,Consistency Score,निरंतरता स्कोर,nirantarta score,,Needs human review
analytics_filter,,Filter,फ़िल्टर,filter,,Needs human review
analytics_focus_depth,NishthaAnalyticsScreen,Ekagra Depth,एकाग्रता की गहराई,ekagrata ki gehraai,,Needs human review
analytics_generate,NishthaAnalyticsScreen,Generate,तैयार करें,ready karein,,Needs human review
analytics_less_active,NishthaAnalyticsScreen,Less Active,कम सक्रिय,kam active,,Needs human review
analytics_mood_connection_title,NishthaAnalyticsScreen,The Mood Connection,मूड का संबंध,mood ka sambandha,,Needs human review
analytics_mood_trend,,Mood Trend — %s,मूड ट्रेंड — %s,mood trend — %s,,Needs human review
analytics_multidimensional,NishthaAnalyticsScreen,Multidimensional Performance,बहुआयामी प्रदर्शन,bahuaayami performance,,Needs human review
